Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,VBI,NDBI,NBI,MultiBI,MBI,IBI,IBUI,BSI,BRBA,BBI,BAEI,BU
1,3,0,0.1810000,0.2070000,0.2268000,0.2674000,0.2776000,0.0946143,0.2019400,0.2268000,0.0579837,0.0187156,0.2103460,0.1415630,-0.0110690,-0.057293610925700,0.046791216601500,0.0306498,0.9145160,1,1.087082129590000,-0.0317187
1,3,0,0.1880000,0.2376000,0.2240000,0.3104000,0.3110000,0.2123660,0.2087540,0.2376000,0.0646253,0.0009656,0.2074020,0.0885865,-0.0315639,0.800943173673000,-0.029969314520000,-0.0120036,0.7794020,0,0.955158585490000,-0.0803555
1,3,0,0.1658000,0.1760000,0.1922000,0.3104000,0.3244000,0.0643939,0.1373570,0.1922000,0.1664150,0.0220542,0.1751720,0.1354730,-0.0411106,-0.127201491587000,0.073371615769400,0.0301097,0.6793920,1,0.983613109512000,-0.1065610
1,3,0,0.1838000,0.2084000,0.2088000,0.3136000,0.2714000,0.1640000,0.1197320,0.2088000,0.2711100,-0.0721368,0.1386230,0.0578151,-0.0525027,1.117688573130000,-0.224444259054000,-0.0417083,1.0028800,1,1.060441850770000,-0.1363750
0,7,0,0.1314000,0.1802000,0.1704000,0.3648000,0.3437000,0.2001370,0.2708100,0.1802000,-0.2009050,-0.0297812,0.1286880,-0.0109927,-0.0847793,0.803460321839000,-0.109068115495000,-0.0291757,0.6185120,0,0.897881275052000,-0.1965050
1,3,0,0.1874000,0.2302000,0.2400000,0.3144000,0.3876000,0.1356150,0.2191670,0.2400000,0.0453721,0.1042740,0.2605340,0.0345435,-0.0061819,-3.453526117650000,0.189957681894000,0.0708070,0.7031940,1,0.874069278084000,-0.0149628
1,3,0,0.1776000,0.2070000,0.2184000,0.3000000,0.3520000,0.1200980,0.1868130,0.2184000,0.0779511,0.0797546,0.2188370,0.0831092,-0.0150772,-1.029124280830000,0.140202240990000,0.0588453,0.7265470,1,0.927370304114000,-0.0388264
0,7,0,0.0840000,0.1168000,0.1162000,0.2874000,0.2522000,0.1697150,0.2808220,0.1168000,-0.4125070,-0.0652335,0.0756472,0.0990504,-0.0812643,0.672637763651000,-0.128639278190000,-0.0463370,0.6210580,0,1.127913279130000,-0.2447080
1,6,0,0.1616000,0.2066000,0.2198000,0.3444000,0.3063000,0.1288660,0.2647860,0.2198000,-0.0928342,-0.0585523,0.1517030,0.0970673,-0.0589163,0.902637483829000,-0.164541850368000,-0.0231176,0.9246950,1,1.013452914800000,-0.1396980
1,3,0,0.1572000,0.1804000,0.2120000,0.2916000,0.2673000,0.0705596,0.2584910,0.2120000,-0.0988130,-0.0434783,0.1471500,0.0426648,-0.0367920,0.655569548583000,-0.105435309389000,0.0076737,1.0474300,1,1.143622961800000,-0.1007700
1,1,0,0.2824000,0.2888000,0.3228000,0.3472000,0.3606000,0.0264026,0.1251550,0.3228000,0.4412170,0.0189319,0.2684110,-0.0175226,-0.0040230,0.397723091360000,-0.012714050907400,0.0359254,1.1181200,1,0.959039113027000,-0.0087430
1,3,0,0.2108000,0.2340000,0.2596000,0.3484000,0.3314000,0.0792349,0.1879820,0.2596000,0.1600120,-0.0250074,0.1989470,0.0279124,-0.0376316,0.671182763659000,-0.080220878411200,0.0073291,0.9722850,1,0.989741775734000,-0.0855300
1,3,0,0.1882000,0.2006000,0.2366000,0.2770000,0.3472000,0.0426997,0.2045650,0.2366000,0.0726154,0.1124640,0.2699970,0.2002360,0.0062948,-4.470666268380000,0.273753821922000,0.1000570,0.7484970,1,0.979554581964000,0.0169018
1,3,0,0.0879000,0.0997000,0.1114000,0.2264000,0.2242000,0.0836879,0.2109520,0.1114000,-0.3088290,-0.0048824,0.1157790,0.3639380,-0.0467635,-1.551041752570000,0.197758085619000,0.0143570,0.4734380,1,1.270145106510000,-0.1726600
1,3,0,0.2168000,0.2294000,0.2626000,0.3452000,0.3180000,0.0458515,0.1744100,0.2626000,0.2018040,-0.0410133,0.1795300,0.0170890,-0.0385140,0.765080889606000,-0.137874376322000,0.0051939,1.1127100,1,1.027767628790000,-0.0884566
1,3,0,0.1672000,0.1904000,0.2014000,0.3496000,0.3222000,0.1130600,0.1698110,0.2014000,0.0850962,-0.0407859,0.1399320,0.0391638,-0.0656540,0.775207698174000,-0.134476671254000,-0.0154194,0.8291480,1,0.978150604760000,-0.1548760
1,3,0,0.1902000,0.2190000,0.2324000,0.3336000,0.3278000,0.1137440,0.1815830,0.2324000,0.1227500,-0.0087693,0.2039770,0.1803100,-0.0392797,0.394416789657000,-0.008559741008490,0.0068296,0.7937160,1,0.973664959766000,-0.0937839
1,3,0,0.0952000,0.1156000,0.1344000,0.2896000,0.3227000,0.0867347,0.2916670,0.1344000,-0.3691130,0.0540585,0.1262780,0.1374370,-0.0542350,-0.559438639676000,0.189403942021000,0.0601879,0.4939360,1,0.991101984942000,-0.1559900
1,2,0,0.0995000,0.1562000,0.2392000,0.2868000,0.4166000,0.0676450,0.5840300,0.2392000,-0.4188750,0.1845320,0.3273570,0.3056920,0.0184558,-9.431896388360000,0.540619649608000,0.1936660,0.6094270,1,0.941340782123000,0.0470190
1,3,0,0.1844000,0.2522000,0.2364000,0.4016000,0.3725000,0.2055060,0.2688340,0.2522000,-0.0319255,-0.0375920,0.1843050,0.0605060,-0.0724627,1.226341160450000,-0.149006184254000,-0.0355587,0.7550300,0,0.858652153033000,-0.1482630
1,1,0,0.3188000,0.3496000,0.3620000,0.3892000,0.3133000,0.1188270,0.1193370,0.3620000,0.5041440,-0.1080430,0.2403410,-0.0021294,-0.0357558,1.551940852620000,-0.289344614930000,-0.0449049,1.4009300,1,0.998642329160000,-0.0721257
0,7,0,0.0976000,0.1482000,0.1484000,0.3416000,0.2821000,0.1660110,0.3423180,0.1484000,-0.3951720,-0.0953984,0.0940533,0.0538367,-0.0969135,0.920939822687000,-0.205702402524000,-0.0644355,0.6854500,1,1.042063676500000,-0.2448420
1,3,0,0.1432000,0.1638000,0.1880000,0.2858000,0.3653000,0.0766369,0.2382980,0.1880000,-0.1179880,0.1221010,0.1908290,0.2044540,-0.0154990,-1.138748264260000,0.237655004801000,0.1034000,0.6480520,1,0.922320922321000,-0.0421576
1,3,0,0.1638000,0.2106000,0.2242000,0.3086000,0.3290000,0.1291390,0.2694020,0.2242000,-0.0915764,0.0319950,0.2078540,0.1206600,-0.0249155,-0.122740118725000,0.059008195985500,0.0317046,0.7836420,1,0.971460340993000,-0.0632067
1,3,0,0.1094000,0.1372000,0.1316000,0.2688000,0.2887000,0.2002400,0.2026240,0.1372000,-0.1925230,0.0356951,0.1099600,0.0561762,-0.0497178,0.169800304510000,0.037569733493000,0.0173061,0.5859310,0,1.013383423340000,-0.1534810
1,2,0,0.1206000,0.1510000,0.2100000,0.2602000,0.3307000,0.0566741,0.4257140,0.2100000,-0.3393260,0.1193100,0.2420410,0.2327120,0.0021763,-2.844871459920000,0.366321104542000,0.1360440,0.7002330,1,1.058750259500000,0.0062732
1,3,0,0.1480000,0.1672000,0.2044000,0.2786000,0.3192000,0.0567376,0.2759300,0.2044000,-0.1489180,0.0679157,0.2063810,0.1690710,-0.0154244,-1.101719650720000,0.204097467721000,0.0802558,0.7266260,1,1.037006578950000,-0.0428538
1,2,0,0.0732000,0.1072000,0.1686000,0.1766000,0.2114000,0.0593990,0.5658360,0.1686000,-0.5408720,0.0896907,0.1968590,0.2660710,0.0080030,-2.955019242040000,0.390183020305000,0.1449230,0.8176530,1,1.470809792840000,0.0332579
1,3,0,0.1080000,0.1196000,0.1472000,0.2916000,0.3138000,0.0493197,0.2663040,0.1472000,-0.2880360,0.0366700,0.1239790,0.0653099,-0.0516067,-0.118640536101000,0.131735653457000,0.0570970,0.5993490,1,1.031841255190000,-0.1462050
0,7,0,0.0517000,0.0756000,0.0866000,0.2366000,0.2294000,0.1141360,0.4030020,0.0866000,-0.6462440,-0.0154506,0.0627722,0.1688050,-0.0653520,0.160189609441000,0.071418954364200,0.0060490,0.5049560,1,1.267540983610000,-0.2397800
1,3,0,0.1462000,0.1730000,0.2296000,0.3572000,0.3754000,0.0535571,0.3632400,0.2296000,-0.2254240,0.0248430,0.2002890,0.2108690,-0.0430264,-0.171857128163000,0.124778490349000,0.0658915,0.7368420,1,0.965718453683000,-0.0963038
1,1,0,0.2500000,0.2576000,0.2806000,0.4304000,0.3501000,0.0413944,0.1090520,0.2806000,0.4402590,-0.1028830,0.1699640,-0.0022822,-0.0819961,1.145646127300000,-0.278886441377000,-0.0434519,1.0763299,1,0.955405627777000,-0.1567860
1,3,0,0.1064000,0.1460000,0.1440000,0.3852000,0.2922000,0.1750840,0.2712330,0.1460000,-0.3001510,-0.1372900,0.0854206,0.0824457,-0.1294160,1.072639842630000,-0.273234048176000,-0.0982014,0.6301970,0,1.013235965310000,-0.2965360
1,2,0,0.0742000,0.0932000,0.1694000,0.2482000,0.3379000,0.0332633,0.5619840,0.1694000,-0.5367680,0.1530460,0.2061190,0.3749200,-0.0057750,-2.608014508100000,0.536586048437000,0.1954750,0.5609270,1,1.088842495940000,-0.0178259
1,3,0,0.1830000,0.2264000,0.2284000,0.3164000,0.2957000,0.1593250,0.1987740,0.2284000,0.0693532,-0.0338180,0.1798900,0.0156033,-0.0387520,0.947600177232000,-0.112418657685000,-0.0175274,0.9165330,1,1.012066653900000,-0.0976726
1,3,0,0.1528000,0.1782000,0.2036000,0.3112000,0.3189000,0.0833334,0.2495090,0.2036000,-0.1013200,0.0122203,0.1793280,0.0611623,-0.0382840,0.011074267958700,0.060609226434100,0.0327107,0.7427950,1,1.013075839870000,-0.0983965
1,3,0,0.1830000,0.1952000,0.1870000,0.1888000,0.2241000,0.2786880,0.0625000,0.1952000,0.5149400,0.0854929,0.2272130,0.1103470,0.0104372,2.026176234960000,0.162924237701000,0.0340838,0.8151700,0,1.161459575480000,0.0403515
1,1,0,0.4132000,0.4464000,0.4588000,0.5040000,0.4227000,0.1213450,0.0993897,0.4588000,0.6438860,-0.0877307,0.3001320,-0.0842694,-0.0433643,1.427375493640000,-0.282687066082000,-0.0376112,1.3915700,1,0.873087101599000,-0.0673385
1,3,0,0.1578000,0.1704000,0.1746000,0.2770000,0.2560000,0.1250000,0.0962199,0.1746000,0.2894180,-0.0393996,0.1125760,0.0107711,-0.0452677,0.833064093722000,-0.176640817976000,-0.0191344,0.9776040,1,1.113039399620000,-0.1330740
1,3,0,0.2024000,0.2488000,0.2532000,0.3484000,0.3306000,0.1522310,0.2006320,0.2532000,0.1158320,-0.0262150,0.1976760,0.0021188,-0.0404148,0.910403815293000,-0.111595455234000,-0.0113463,0.9308820,1,0.954780807732000,-0.0922299
1,3,0,0.1260000,0.1360000,0.1444000,0.3552000,0.3129000,0.0905798,0.1274240,0.1444000,0.0624529,-0.0633139,0.0935836,0.1230940,-0.0996730,0.691969481456000,-0.135781337309000,-0.0357406,0.6272810,1,0.989975495656000,-0.2426260
1,6,0,0.1068000,0.1256000,0.1360000,0.2768000,0.3267000,0.1073060,0.2147060,0.1360000,-0.2244210,0.0826843,0.1293180,0.0661936,-0.0435254,-0.617842885292000,0.188055233879000,0.0697030,0.5167170,1,0.963961972142000,-0.1292000
1,3,0,0.1610000,0.1918000,0.2034000,0.2686000,0.3008000,0.1210690,0.2084560,0.2034000,-0.0122767,0.0565508,0.2101400,0.0978201,-0.0141864,-1.740261605100000,0.136954965528000,0.0454074,0.7329730,1,1.021924482340000,-0.0407924
1,3,0,0.1676000,0.2120000,0.2358000,0.3320000,0.3297000,0.1085040,0.2892280,0.2358000,-0.1017620,-0.0034759,0.2054730,0.1413140,-0.0361902,0.251883931484000,0.013414407422100,0.0193781,0.8150710,1,0.989108362562000,-0.0864509
1,3,0,0.1600000,0.1788000,0.2170000,0.2410000,0.3131000,0.0549708,0.2626730,0.2170000,-0.0952166,0.1301210,0.2429320,0.0928472,0.0127891,-2.838342527130000,0.291826829702000,0.1161170,0.8042990,1,1.051026631430000,0.0388596
1,3,0,0.1964000,0.2136000,0.2552000,0.3324000,0.3375000,0.0487528,0.2304080,0.2552000,0.0510546,0.0076131,0.2252580,0.0950592,-0.0263320,0.025887194771300,0.056029883002100,0.0410117,0.8698020,1,1.007439666120000,-0.0618844
1,1,0,0.2698000,0.2790000,0.2984000,0.2634000,0.3945000,0.0536131,0.0958445,0.2984000,0.5137810,0.1992700,0.4702580,0.1498350,0.0505482,2.953234644420000,0.444517974324000,0.1218330,0.7188630,1,0.888492947290000,0.1307850
1,3,0,0.1014000,0.1302000,0.1628000,0.3196000,0.3440000,0.0781759,0.3771500,0.1628000,-0.3969810,0.0367691,0.1526120,0.1995570,-0.0558337,-0.531973291054000,0.179151191703000,0.0595860,0.5433910,1,0.975959510755000,-0.1441360
1,6,0,0.1172000,0.1402000,0.1728000,0.2854000,0.3647000,0.0689448,0.3217590,0.1728000,-0.3011960,0.1219810,0.1984110,0.1487680,-0.0224000,-3.116576461370000,0.337368139846000,0.1161870,0.5273120,1,0.936423054070000,-0.0618815
1,6,0,0.2116000,0.2356000,0.2846000,0.4928000,0.3059000,0.0547945,0.2565000,0.2846000,0.0519306,-0.2340050,0.1046460,-0.0187874,-0.1438130,1.283111810780000,-0.576970955640000,-0.1045570,1.5706400,1,1.079593721140000,-0.2509110
